"source_settlement_raw","normalized_settlement","municipality","region","location_kind","is_ignored","ignore_reason","mapping_source","mapping_confidence","review_status","review_notes","updated_at"
"אום אל קוטוף","אום אל קוטוף","מועצה אזורית מנשה","המשולש","settlement","FALSE","","manual_research_2026_03_30","high","pending","כפר ערבי בגבעות עירון במועצה אזורית מנשה - אזור המשולש","2026-03-30T12:00:00+03:00"
"אזור תעשייה אלון התבור","אזור תעשייה אלון התבור","מועצה אזורית עמק יזרעאל","עמקים","settlement","FALSE","","manual_research_2026_03_30","high","pending","אזור תעשייה ליד כפר תבור ואלון הגליל - בעמק יזרעאל","2026-03-30T12:00:00+03:00"
"אזור תעשייה בני יהודה","אזור תעשייה בני יהודה","מועצה אזורית גולן","גולן","settlement","FALSE","","manual_research_2026_03_30","high","pending","אזור תעשייה בבני יהודה ברמת הגולן","2026-03-30T12:00:00+03:00"
"אזור תעשייה קדמת גליל","אזור תעשייה קדמת גליל","מועצה אזורית גליל עליון","גליל עליון","settlement","FALSE","","manual_research_2026_03_30","medium","pending","אזור תעשייה קדמת גליל בצפון הארץ - גליל עליון","2026-03-30T12:00:00+03:00"
"אזור תעשייה קיסריה","אזור תעשייה קיסריה","קיסריה","שרון","settlement","FALSE","","manual_research_2026_03_30","high","pending","אזור התעשייה של קיסריה - ממוקם בחוף הכרמל בשרון","2026-03-30T12:00:00+03:00"
"אזור תעשייה שחורת","אזור תעשייה שחורת","מועצה אזורית ערבה תיכונה","ערבה","settlement","FALSE","","manual_research_2026_03_30","high","pending","אזור תעשייה שחורת בערבה התיכונה ליד שחרות","2026-03-30T12:00:00+03:00"
"אזור תעשייה שחק","אזור תעשייה שחק","מועצה אזורית גולן","גולן","settlement","FALSE","","manual_research_2026_03_30","high","pending","אזור תעשייה שחק ברמת הגולן ליד מג'דל שמס","2026-03-30T12:00:00+03:00"
"איבי הנחל","איבי הנחל","מועצה אזורית שומרון","שומרון","settlement","FALSE","","manual_research_2026_03_30","high","pending","ישוב ביהודה ושומרון במועצה אזורית שומרון בצפון עמק הירדן","2026-03-30T12:00:00+03:00"
"אל עמארני אל מסק","אל עמארני אל מסק","מועצה אזורית מנשה","המשולש","settlement","FALSE","","manual_research_2026_03_30","medium","pending","ישוב ערבי במנשה - אזור המשולש","2026-03-30T12:00:00+03:00"
"אלון","אלון","מועצה אזורית מטה בנימין","מטה בנימין","settlement","FALSE","","manual_research_2026_03_30","high","pending","ישוב אלון במועצה אזורית מטה בנימין - הרי בנימין [תוקן: מטה בנימין->שומרון]","2026-03-30T12:00:00+03:00"
"אליפז ומכרות תמנע","אליפז ומכרות תמנע","מועצה אזורית חבל אילות","ערבה","settlement","FALSE","","manual_research_2026_03_30","high","pending","ישוב אליפז ואתר מכרות תמנע בערבה הדרומית ליד אילת","2026-03-30T12:00:00+03:00"
"אמץ","אמץ","מועצה אזורית מנשה","שרון","settlement","FALSE","","manual_research_2026_03_30","high","pending","מושב אמץ במועצה אזורית מנשה - שרון דרומי","2026-03-30T12:00:00+03:00"
"אעירה השחר","אעירה השחר","מועצה אזורית מטה בנימין","מטה בנימין","settlement","FALSE","","manual_research_2026_03_30","high","pending","מאחז סמוך לכוכב השחר במועצה אזורית מטה בנימין - הרי בנימין [תוקן: מטה בנימין->שומרון]","2026-03-30T12:00:00+03:00"
"אפקה","אפקה","מועצה אזורית הגלבוע","גלבוע","settlement","FALSE","","manual_research_2026_03_30","high","pending","מושב אפקה במועצה אזורית הגלבוע - אזור הגלבוע","2026-03-30T12:00:00+03:00"
"אתר ההנצחה גולני","אתר ההנצחה גולני","מועצה אזורית גולן","גולן","settlement","FALSE","","manual_research_2026_03_30","high","pending","אתר ההנצחה של חטיבת גולני ברמת הגולן","2026-03-30T12:00:00+03:00"
"באקה אל גרבייה","באקה אל גרבייה","באקה אל-גרבייה","המשולש","settlement","FALSE","","manual_research_2026_03_30","high","pending","עיר ערבית בוואדי עארה - אזור המשולש","2026-03-30T12:00:00+03:00"
"בוקעתא","בוקעתא","מועצה אזורית גולן","גולן","settlement","FALSE","","manual_research_2026_03_30","high","pending","כפר דרוזי ברמת הגולן","2026-03-30T12:00:00+03:00"
"בחלק מהאזורים בארץ","בחלק מהאזורים בארץ","לאומי","לא ממופה","ignored","TRUE","התרעה ארצית כללית - לא מיקום ספציפי","manual_research_2026_03_30","high","pending","זוהי התרעה כלל-ארצית ולא ישוב ספציפי","2026-03-30T12:00:00+03:00"
"בי""ס כרמים בנימינה","בי""ס כרמים בנימינה","בנימינה-גבעת עדה","שרון","settlement","FALSE","","manual_research_2026_03_30","high","pending","בית ספר חקלאי כרמים בבנימינה - עיר בחוף הכרמל בשרון","2026-03-30T12:00:00+03:00"
"בית אלפא וחפציבה","בית אלפא וחפציבה","מועצה אזורית הגלבוע","גלבוע","settlement","FALSE","","manual_research_2026_03_30","high","pending","בית אלפא וחפציבה - קיבוצים בעמק בית שאן - גלבוע","2026-03-30T12:00:00+03:00"
"בית הברכה","בית הברכה","מועצה אזורית שומרון","שומרון","settlement","FALSE","","manual_research_2026_03_30","medium","pending","ישוב בשומרון - מועצה אזורית שומרון","2026-03-30T12:00:00+03:00"
"בית העלמין החדש נהריה","בית העלמין החדש נהריה","נהריה","גליל מערבי","settlement","FALSE","","manual_research_2026_03_30","high","pending","בית עלמין עירוני בנהריה - גליל מערבי","2026-03-30T12:00:00+03:00"
"בית העלמין החדש עכו","בית העלמין החדש עכו","עכו","גליל מערבי","settlement","FALSE","","manual_research_2026_03_30","high","pending","בית עלמין עירוני בעכו - גליל מערבי","2026-03-30T12:00:00+03:00"
"בית חגלה","בית חגלה","מועצה אזורית מגילות ים המלח","ערבה","settlement","FALSE","","manual_research_2026_03_30","high","pending","ישוב קהילתי בצפון ים המלח במועצה אזורית מגילות [תוקן: מגילות->ערבה]","2026-03-30T12:00:00+03:00"
"בית חרות","בית חרות","מועצה אזורית עמק חפר","שרון","settlement","FALSE","","manual_research_2026_03_30","high","pending","מושב בית חרות במועצה אזורית עמק חפר - שרון","2026-03-30T12:00:00+03:00"
"בית ירח","בית ירח","מועצה אזורית עמק הירדן","עמקים","settlement","FALSE","","manual_research_2026_03_30","high","pending","אתר ארכיאולוגי וישוב בדרום מערב הכינרת - אזור כינרת [תוקן: עמק הירדן->עמקים]","2026-03-30T12:00:00+03:00"
"בית סוהר צלמון","בית סוהר צלמון","מועצה אזורית גליל תחתון","גליל","settlement","FALSE","","manual_research_2026_03_30","high","pending","בית הסוהר צלמון בגליל התחתון ליד נצרת","2026-03-30T12:00:00+03:00"
"בית סוהר קישון","בית סוהר קישון","מועצה אזורית זבולון","חיפה","settlement","FALSE","","manual_research_2026_03_30","high","pending","בית הסוהר קישון בקרבת חיפה - מחוז חיפה","2026-03-30T12:00:00+03:00"
"בית ספר שדה מירון","בית ספר שדה מירון","מועצה אזורית מרום הגליל","גליל עליון","settlement","FALSE","","manual_research_2026_03_30","high","pending","בית ספר שדה מירון בגליל העליון ליד הר מירון","2026-03-30T12:00:00+03:00"
"בית עלמין תל רגב","בית עלמין תל רגב","מועצה אזורית זבולון","חיפה","settlement","FALSE","","manual_research_2026_03_30","high","pending","בית עלמין תל רגב באזור זבולון ליד חיפה","2026-03-30T12:00:00+03:00"
"בני אדם","בני אדם","מועצה אזורית שומרון","שומרון","settlement","FALSE","","manual_research_2026_03_30","high","pending","ישוב בני אדם במועצה אזורית שומרון בשומרון","2026-03-30T12:00:00+03:00"
"בני יהודה וגבעת יואב","בני יהודה וגבעת יואב","מועצה אזורית גולן","גולן","settlement","FALSE","","manual_research_2026_03_30","high","pending","בני יהודה וגבעת יואב ברמת הגולן הדרומית","2026-03-30T12:00:00+03:00"
"בר כוכבא","בר כוכבא","מועצה אזורית חוף הכרמל","שרון","settlement","FALSE","","manual_research_2026_03_30","high","pending","ישוב בר כוכבא במועצה אזורית חוף הכרמל - חוף הכרמל","2026-03-30T12:00:00+03:00"
"ברטעה","ברטעה","מועצה אזורית מנשה","המשולש","settlement","FALSE","","manual_research_2026_03_30","high","pending","ברטעה כפר ערבי בעירון - המשולש","2026-03-30T12:00:00+03:00"
"בתרונות","בתרונות","מועצה אזורית מטה יהודה","שפלה","settlement","FALSE","","manual_research_2026_03_30","high","pending","מושב בתרונות במועצה אזורית מטה יהודה - שפלה","2026-03-30T12:00:00+03:00"
"גבעות","גבעות","מועצה אזורית גוש עציון","ירושלים","settlement","FALSE","","manual_research_2026_03_30","medium","pending","גבעות - ישוב קהילתי באזור גוש עציון הר חברון [תוקן: גוש עציון->ירושלים]","2026-03-30T12:00:00+03:00"
"גבעת אסף","גבעת אסף","מועצה אזורית מטה בנימין","מטה בנימין","settlement","FALSE","","manual_research_2026_03_30","high","pending","גבעת אסף ישוב בהרי בנימין - מועצה אזורית מטה בנימין [תוקן: מטה בנימין->שומרון]","2026-03-30T12:00:00+03:00"
"גבעת וולפסון","גבעת וולפסון","רחובות","שפלה","settlement","FALSE","","manual_research_2026_03_30","high","pending","שכונה ברחובות שבשפלה","2026-03-30T12:00:00+03:00"
"גבעת חיים איחוד","גבעת חיים איחוד","מועצה אזורית עמק חפר","שרון","settlement","FALSE","","manual_research_2026_03_30","high","pending","קיבוץ גבעת חיים איחוד במועצה אזורית עמק חפר - שרון","2026-03-30T12:00:00+03:00"
"גבעת חיים מאוחד","גבעת חיים מאוחד","מועצה אזורית עמק חפר","שרון","settlement","FALSE","","manual_research_2026_03_30","high","pending","קיבוץ גבעת חיים מאוחד במועצה אזורית עמק חפר - שרון","2026-03-30T12:00:00+03:00"
"גבעת עדה","גבעת עדה","בנימינה-גבעת עדה","שרון","settlement","FALSE","","manual_research_2026_03_30","high","pending","גבעת עדה עיר בחוף הכרמל - שרון","2026-03-30T12:00:00+03:00"
"גבעת פורת יוסף","גבעת פורת יוסף","מועצה אזורית מטה בנימין","מטה בנימין","settlement","FALSE","","manual_research_2026_03_30","medium","pending","גבעת פורת יוסף מאחז בהרי בנימין - מטה בנימין [תוקן: מטה בנימין->שומרון]","2026-03-30T12:00:00+03:00"
"גני חוגה","גני חוגה","מועצה אזורית שדות נגב","נגב","settlement","FALSE","","manual_research_2026_03_30","high","pending","מושב גני חוגה במועצה אזורית שדות נגב - נגב","2026-03-30T12:00:00+03:00"
"גניגר","גניגר","מועצה אזורית עמק יזרעאל","עמקים","settlement","FALSE","","manual_research_2026_03_30","high","pending","קיבוץ גניגר בעמק יזרעאל","2026-03-30T12:00:00+03:00"
"דבוריה","דבוריה","מועצה אזורית גליל תחתון","גליל","settlement","FALSE","","manual_research_2026_03_30","high","pending","כפר ערבי דבוריה בגליל התחתון ליד נצרת","2026-03-30T12:00:00+03:00"
"דליה","דליה","מועצה אזורית מנשה","שרון","settlement","FALSE","","manual_research_2026_03_30","high","pending","קיבוץ דליה במועצה אזורית מנשה - שרון","2026-03-30T12:00:00+03:00"
"הגבעה הצהובה","הגבעה הצהובה","מועצה אזורית שומרון","שומרון","settlement","FALSE","","manual_research_2026_03_30","medium","pending","מאחז קטן בשומרון","2026-03-30T12:00:00+03:00"
"החווה של אורי כהן","החווה של אורי כהן","מועצה אזורית מטה בנימין","מטה בנימין","settlement","FALSE","","manual_research_2026_03_30","medium","pending","חווה בהרי בנימין - על פי דפוס שמות חוות דומות [תוקן: מטה בנימין->שומרון]","2026-03-30T12:00:00+03:00"
"החווה של זוהר","החווה של זוהר","מועצה אזורית שומרון","שומרון","settlement","FALSE","","manual_research_2026_03_30","medium","pending","חווה בשומרון - על פי דפוס שמות חוות דומות","2026-03-30T12:00:00+03:00"
"החווה של יאיא","החווה של יאיא","מועצה אזורית שומרון","שומרון","settlement","FALSE","","manual_research_2026_03_30","medium","pending","חווה בשומרון - על פי דפוס שמות חוות דומות","2026-03-30T12:00:00+03:00"
"החווה של מנחם","החווה של מנחם","מועצה אזורית שומרון","שומרון","settlement","FALSE","","manual_research_2026_03_30","medium","pending","חווה בשומרון - על פי דפוס שמות חוות דומות","2026-03-30T12:00:00+03:00"
"החווה של עשהאל","החווה של עשהאל","מועצה אזורית מטה בנימין","מטה בנימין","settlement","FALSE","","manual_research_2026_03_30","medium","pending","חווה בהרי בנימין - על פי דפוס שמות חוות דומות [תוקן: מטה בנימין->שומרון]","2026-03-30T12:00:00+03:00"
"הר ברכה","הר ברכה","מועצה אזורית שומרון","שומרון","settlement","FALSE","","manual_research_2026_03_30","high","pending","ישוב הר ברכה בהר גריזים - מועצה אזורית שומרון","2026-03-30T12:00:00+03:00"
"הר חלוץ","הר חלוץ","מועצה אזורית מרום הגליל","גליל עליון","settlement","FALSE","","manual_research_2026_03_30","high","pending","ישוב הר חלוץ במועצה אזורית מרום הגליל - גליל עליון","2026-03-30T12:00:00+03:00"
"הררית יחד","הררית יחד","מועצה אזורית מנשה","שרון","settlement","FALSE","","manual_research_2026_03_30","high","pending","ישוב הררית יחד במועצה אזורית מנשה - שרון","2026-03-30T12:00:00+03:00"
"חבצלת השרון וצוקי ים","חבצלת השרון וצוקי ים","מועצה אזורית עמק חפר","שרון","settlement","FALSE","","manual_research_2026_03_30","high","pending","ישובי חבצלת השרון וצוקי ים בחוף השרון - שרון","2026-03-30T12:00:00+03:00"
"חג'אג'רה","חג'אג'רה","מועצה אזורית גליל תחתון","גליל","settlement","FALSE","","manual_research_2026_03_30","high","pending","כפר ערבי חג'אג'רה בגליל התחתון","2026-03-30T12:00:00+03:00"
"חוות אביה","חוות אביה","מועצה אזורית שומרון","שומרון","settlement","FALSE","","manual_research_2026_03_30","medium","pending","חווה בשומרון - על פי תבנית שמות חוות בשומרון","2026-03-30T12:00:00+03:00"
"חוות אביחי","חוות אביחי","מועצה אזורית שומרון","שומרון","settlement","FALSE","","manual_research_2026_03_30","high","pending","חוות אביחי בנחל שילה - מועצה אזורית שומרון","2026-03-30T12:00:00+03:00"
"חוות אל נווה","חוות אל נווה","מועצה אזורית שומרון","שומרון","settlement","FALSE","","manual_research_2026_03_30","high","pending","חוות אל נווה בצפון שומרון - מועצה אזורית שומרון","2026-03-30T12:00:00+03:00"
"חוות אלחי","חוות אלחי","מועצה אזורית שומרון","שומרון","settlement","FALSE","","manual_research_2026_03_30","medium","pending","חווה בשומרון - על פי תבנית שמות חוות ביהודה ושומרון","2026-03-30T12:00:00+03:00"
"חוות ארץ האיילים","חוות ארץ האיילים","מועצה אזורית גוש עציון","ירושלים","settlement","FALSE","","manual_research_2026_03_30","high","pending","חוות ארץ האיילים בגוש עציון - הר חברון [תוקן: גוש עציון->ירושלים]","2026-03-30T12:00:00+03:00"
"חוות אשכולות","חוות אשכולות","מועצה אזורית הר חברון","הר חברון","settlement","FALSE","","manual_research_2026_03_30","high","pending","חוות אשכולות בהר חברון - מועצה אזורית הר חברון","2026-03-30T12:00:00+03:00"
"חוות בניהו","חוות בניהו","מועצה אזורית שומרון","שומרון","settlement","FALSE","","manual_research_2026_03_30","medium","pending","חווה בשומרון - על פי תבנית שמות חוות ביהודה ושומרון","2026-03-30T12:00:00+03:00"
"חוות גנות","חוות גנות","מועצה אזורית מטה בנימין","מטה בנימין","settlement","FALSE","","manual_research_2026_03_30","medium","pending","חווה בהרי בנימין - על פי תבנית שמות חוות ביהודה ושומרון [תוקן: מטה בנימין->שומרון]","2026-03-30T12:00:00+03:00"
"חוות הרועה העברי","חוות הרועה העברי","מועצה אזורית מטה בנימין","מטה בנימין","settlement","FALSE","","manual_research_2026_03_30","high","pending","חוות הרועה העברי באזור גוש אדומים - מטה בנימין [תוקן: מטה בנימין->שומרון]","2026-03-30T12:00:00+03:00"
"חוות הרשאש","חוות הרשאש","מועצה אזורית מטה בנימין","מטה בנימין","settlement","FALSE","","manual_research_2026_03_30","high","pending","חוות הרשאש בבנימין - צמחה מחוות מלאכי השלום במזרח בנימין [תוקן: מטה בנימין->שומרון]","2026-03-30T12:00:00+03:00"
"חוות חנינא","חוות חנינא","מועצה אזורית מטה בנימין","מטה בנימין","settlement","FALSE","","manual_research_2026_03_30","medium","pending","חווה בהרי בנימין - על פי תבנית שמות חוות ביהודה ושומרון [תוקן: מטה בנימין->שומרון]","2026-03-30T12:00:00+03:00"
