"source_settlement_raw","municipality","original_region","mapping_source","event_date"
"גבעת אסף","גבעת אסף","?? ?????","unmapped_fallback","2026-03-18"
"חוות הרשאש","חוות הרשאש","?? ?????","unmapped_fallback","2026-03-18"
"חוות עולם חסד","חוות עולם חסד","?? ?????","unmapped_fallback","2026-03-18"
"חוות מגנזי","חוות מגנזי","?? ?????","unmapped_fallback","2026-03-18"
"חוות מעלה אהוביה","חוות מעלה אהוביה","?? ?????","unmapped_fallback","2026-03-18"
"חוות נווה צוף","חוות נווה צוף","?? ?????","unmapped_fallback","2026-03-18"
"חוות נחל שילה","חוות נחל שילה","?? ?????","unmapped_fallback","2026-03-18"
"חוות ראש תאנה","חוות ראש תאנה","?? ?????","unmapped_fallback","2026-03-18"
"יבוא דודי","יבוא דודי","?? ?????","unmapped_fallback","2026-03-18"
"מכינת אלישע","מכינת אלישע","?? ?????","unmapped_fallback","2026-03-18"
"אעירה השחר","אעירה השחר","?? ?????","unmapped_fallback","2026-03-18"
"חוות חנינא","חוות חנינא","?? ?????","unmapped_fallback","2026-03-18"
"חוות פריאל","חוות פריאל","?? ?????","unmapped_fallback","2026-03-18"
"חוות מגדלים","חוות מגדלים","?? ?????","unmapped_fallback","2026-03-18"
"בית העלמין החדש עכו","בית העלמין החדש עכו","?? ?????","unmapped_fallback","2026-03-18"
"צורית גילון","צורית גילון","?? ?????","unmapped_fallback","2026-03-18"
"לב החולה","לב החולה","?? ?????","unmapped_fallback","2026-03-18"
"חוות עולם חסד","חוות עולם חסד","?? ?????","unmapped_fallback","2026-03-18"
"חוות יאיר","חוות יאיר","?? ?????","unmapped_fallback","2026-03-18"
"חוות אביחי","חוות אביחי","?? ?????","unmapped_fallback","2026-03-18"
"חוות נוף אב""י","חוות נוף אב""י","?? ?????","unmapped_fallback","2026-03-18"
"חוות צרידה","חוות צרידה","?? ?????","unmapped_fallback","2026-03-18"
"חוות שוביאל","חוות שוביאל","?? ?????","unmapped_fallback","2026-03-18"
"חוות שחרית","חוות שחרית","?? ?????","unmapped_fallback","2026-03-18"
"חוות נווה צוף","חוות נווה צוף","?? ?????","unmapped_fallback","2026-03-18"
"מכינת אלישע","מכינת אלישע","?? ?????","unmapped_fallback","2026-03-18"
"הר ברכה","הר ברכה","?? ?????","unmapped_fallback","2026-03-18"
"גבעת פורת יוסף","גבעת פורת יוסף","?? ?????","unmapped_fallback","2026-03-18"
"חוות מרום שמואל","חוות מרום שמואל","?? ?????","unmapped_fallback","2026-03-18"
"חוות שדה","חוות שדה","?? ?????","unmapped_fallback","2026-03-18"
"מנחת מחניים","מנחת מחניים","?? ?????","unmapped_fallback","2026-03-18"
"קדיתא","קדיתא","?? ?????","unmapped_fallback","2026-03-18"
"הר חלוץ","הר חלוץ","?? ?????","unmapped_fallback","2026-03-18"
"כורזים ורד הגליל","כורזים ורד הגליל","?? ?????","unmapped_fallback","2026-03-18"
"צורית גילון","צורית גילון","?? ?????","unmapped_fallback","2026-03-18"
"בית סוהר צלמון","בית סוהר צלמון","?? ?????","unmapped_fallback","2026-03-18"
"הררית יחד","הררית יחד","?? ?????","unmapped_fallback","2026-03-18"
"לוטם וחמדון","לוטם וחמדון","?? ?????","unmapped_fallback","2026-03-18"
"מע'אר","מע'אר","?? ?????","unmapped_fallback","2026-03-18"
"מרכז אזורי מרום גליל","מרכז אזורי מרום גליל","?? ?????","unmapped_fallback","2026-03-18"
"מרכז אזורי רמת כורזים","מרכז אזורי רמת כורזים","?? ?????","unmapped_fallback","2026-03-18"
"קדיתא","קדיתא","?? ?????","unmapped_fallback","2026-03-18"
"חמדת ימים","חמדת ימים","?? ?????","unmapped_fallback","2026-03-18"
"מנחת מחניים","מנחת מחניים","?? ?????","unmapped_fallback","2026-03-18"
"בית העלמין החדש עכו","בית העלמין החדש עכו","?? ?????","unmapped_fallback","2026-03-18"
"בית עלמין תל רגב","בית עלמין תל רגב","?? ?????","unmapped_fallback","2026-03-18"
"כפר ח'וואלד","כפר ח'וואלד","?? ?????","unmapped_fallback","2026-03-18"
"גבעת וולפסון","גבעת וולפסון","?? ?????","unmapped_fallback","2026-03-18"
"סואעד חמירה","סואעד חמירה","?? ?????","unmapped_fallback","2026-03-18"
"הר חלוץ","הר חלוץ","?? ?????","unmapped_fallback","2026-03-18"
"חוף זיקים","חוף זיקים","?? ?????","unmapped_fallback","2026-03-18"
"בית סוהר צלמון","בית סוהר צלמון","?? ?????","unmapped_fallback","2026-03-18"
"מע'אר","מע'אר","?? ?????","unmapped_fallback","2026-03-18"
"הר חלוץ","הר חלוץ","?? ?????","unmapped_fallback","2026-03-18"
"חוות אשכולות","חוות אשכולות","?? ?????","unmapped_fallback","2026-03-18"
"אפקה","אפקה","?? ?????","unmapped_fallback","2026-03-18"
"חוות מדבר חבר","חוות מדבר חבר","?? ?????","unmapped_fallback","2026-03-18"
"חוות מלאכי אברהם","חוות מלאכי אברהם","?? ?????","unmapped_fallback","2026-03-18"
"כפר מימון ותושיה","כפר מימון ותושיה","?? ?????","unmapped_fallback","2026-03-18"
"חוות תלם צפון","חוות תלם צפון","?? ?????","unmapped_fallback","2026-03-18"
"חוות נחלת אבות","חוות נחלת אבות","?? ?????","unmapped_fallback","2026-03-18"
"חוות מור ואברהם","חוות מור ואברהם","?? ?????","unmapped_fallback","2026-03-18"
"מיצד","מיצד","?? ?????","unmapped_fallback","2026-03-18"
"חוות יאיר","חוות יאיר","?? ?????","unmapped_fallback","2026-03-18"
"חוות שחרית","חוות שחרית","?? ?????","unmapped_fallback","2026-03-18"
"חוות אביחי","חוות אביחי","?? ?????","unmapped_fallback","2026-03-18"
"חוות צרידה","חוות צרידה","?? ?????","unmapped_fallback","2026-03-18"
"חוות עולם חסד","חוות עולם חסד","?? ?????","unmapped_fallback","2026-03-18"
"בית העלמין החדש נהריה","בית העלמין החדש נהריה","?? ?????","unmapped_fallback","2026-03-18"
"חוות יאיר","חוות יאיר","?? ?????","unmapped_fallback","2026-03-19"
"חוות אביחי","חוות אביחי","?? ?????","unmapped_fallback","2026-03-19"
"חוות צרידה","חוות צרידה","?? ?????","unmapped_fallback","2026-03-19"
